Date,Open,High,Low,Close
04/17/2026,"26,460.00","26,884.80","26,440.00","26,825.50"
04/16/2026,"26,350.00","26,564.00","26,275.50","26,487.30"
04/15/2026,"25,985.80","26,377.50","25,933.70","26,365.50"
04/14/2026,"25,575.20","26,003.20","25,560.00","25,996.80"
04/13/2026,"24,980.00","25,599.30","24,904.50","25,543.50"
04/10/2026,"25,237.00","25,393.00","25,193.00","25,281.20"
04/09/2026,"25,037.80","25,269.80","24,953.00","25,251.50"
04/08/2026,"24,514.00","25,257.00","24,355.00","25,074.30"
04/07/2026,"24,348.80","24,451.50","23,941.50","24,371.00"
04/06/2026,"24,093.50","24,452.30","23,981.50","24,358.50"
04/02/2026,"24,180.00","24,260.80","23,666.00","24,218.00"
04/01/2026,"23,889.00","24,348.30","23,880.00","24,194.80"
03/31/2026,"23,119.50","23,975.30","22,961.50","23,915.00"
03/30/2026,"23,189.50","23,574.00","23,024.50","23,139.80"
03/27/2026,"23,824.00","23,976.00","23,232.50","23,328.50"
03/26/2026,"24,373.50","24,421.30","23,763.30","23,794.30"
03/25/2026,"24,420.00","24,539.80","24,286.50","24,367.80"
03/24/2026,"24,417.30","24,550.00","24,134.00","24,213.80"
03/23/2026,"23,902.00","24,763.00","23,772.50","24,408.30"
03/20/2026,"24,632.80","24,660.50","23,971.30","24,101.50"
03/19/2026,"24,622.00","24,725.30","24,327.00","24,580.00"
03/18/2026,"25,019.80","25,210.50","24,565.50","24,651.30"
